TYPEID,GROUPID,TYPENAME,MASS,VOLUME,CAPACITY,PORTIONSIZE,RACEID,BASEPRICE,PUBLISHED,MARKETGROUPID,CHANCEOFDUPLICATING
185,83,EMP S,0.01,0.0025,0,100,,1056,1,113,0.07
186,83,Carbonized Lead M,0.05,0.0125,0,100,,848,1,112,0.07
187,83,Nuclear M,0.05,0.0125,0,100,,1328,1,112,0.07
188,83,Proton M,1,0.0125,0,100,,1830,1,112,0.07
189,83,Depleted Uranium M,1,0.0125,0,100,,2236,1,112,0.07
190,83,Titanium Sabot M,1,0.0125,0,100,,2608,1,112,0.07
191,83,Fusion M,1,0.0125,0,100,,3054,1,112,0.07
192,83,Phased Plasma M,1,0.0125,0,100,,3544,1,112,0.07
193,83,EMP M,1,0.0125,0,100,,4458,1,112,0.07
194,83,Carbonized Lead L,1,0.025,0,100,,2210,1,109,0.07
195,83,Nuclear L,1,0.025,0,100,,3184,1,109,0.07
196,83,Proton L,1,0.025,0,100,,4446,1,109,0.07
197,83,Depleted Uranium L,1,0.025,0,100,,5556,1,109,0.07
198,83,Titanium Sabot L,1,0.025,0,100,,6656,1,109,0.07
199,83,Fusion L,1,0.025,0,100,,7776,1,109,0.07
200,83,Phased Plasma L,1,0.025,0,100,,8850,1,109,0.07
201,83,EMP L,1,0.025,0,100,,11132,1,109,0.07
202,386,Mjolnir Cruise Missile,1250,0.05,0,100,,16216,1,921,0.07
203,386,Scourge Cruise Missile,1250,0.05,0,100,,10550,1,921,0.07
204,386,Inferno Cruise Missile,1250,0.05,0,100,,13436,1,921,0.07
205,386,Nova Cruise Missile,1250,0.05,0,100,,8046,1,921,0.07
206,385,Nova Heavy Missile,1000,0.03,0,100,,2166,1,924,0.07
207,385,Mjolnir Heavy Missile,1000,0.03,0,100,,3776,1,924,0.07
208,385,Inferno Heavy Missile,1000,0.03,0,100,,3176,1,924,0.07
209,385,Scourge Heavy Missile,1000,0.03,0,100,,2664,1,924,0.07
210,384,Scourge Light Missile,700,0.015,0,100,,546,1,920,0.07
211,384,Inferno Light Missile,700,0.015,0,100,,692,1,920,0.07
212,384,Mjolnir Light Missile,700,0.015,0,100,,828,1,920,0.07
213,384,Nova Light Missile,700,0.015,0,100,,428,1,920,0.07
215,85,Iron Charge S,0.01,0.0025,0,100,,222,1,107,0.07
216,85,Tungsten Charge S,0.01,0.0025,0,100,,332,1,107,0.07
217,85,Iridium Charge S,0.01,0.0025,0,100,,428,1,107,0.07
218,85,Lead Charge S,0.01,0.0025,0,100,,524,1,107,0.07
219,85,Thorium Charge S,0.01,0.0025,0,100,,660,1,107,0.07
220,85,Uranium Charge S,0.01,0.0025,0,100,,778,1,107,0.07
221,85,Plutonium Charge S,0.01,0.0025,0,100,,848,1,107,0.07
222,85,Antimatter Charge S,0.01,0.0025,0,100,,1056,1,107,0.07
223,85,Iron Charge M,0.05,0.0125,0,100,,848,1,108,0.07
224,85,Tungsten Charge M,0.05,0.0125,0,100,,1208,1,108,0.07
225,85,Iridium Charge M,0.05,0.0125,0,100,,1664,1,108,0.07
226,85,Lead Charge M,0.05,0.0125,0,100,,1832,1,108,0.07
227,85,Thorium Charge M,0.05,0.0125,0,100,,2436,1,108,0.07
228,85,Uranium Charge M,0.05,0.0125,0,100,,3042,1,108,0.07
229,85,Plutonium Charge M,0.05,0.0125,0,100,,3588,1,108,0.07
230,85,Antimatter Charge M,0.05,0.0125,0,100,,4458,1,108,0.07
231,85,Iron Charge L,0.1,0.025,0,100,,2210,1,106,0.07
232,85,Tungsten Charge L,0.1,0.025,0,100,,3184,1,106,0.07
233,85,Iridium Charge L,0.1,0.025,0,100,,4446,1,106,0.07
234,85,Lead Charge L,0.1,0.025,0,100,,5556,1,106,0.07
235,85,Thorium Charge L,0.1,0.025,0,100,,6656,1,106,0.07
236,85,Uranium Charge L,0.1,0.025,0,100,,7776,1,106,0.07
237,85,Plutonium Charge L,0.1,0.025,0,100,,8850,1,106,0.07
238,85,Antimatter Charge L,0.1,0.025,0,100,,11132,1,106,0.07
239,86,Radio S,1,1,0,1,,3008,1,102,0.07
240,86,Microwave S,1,1,0,1,,2000,1,102,0.07
241,86,Infrared S,1,1,0,1,,1128,1,102,0.07
242,86,Standard S,1,1,0,1,,1358,1,102,0.07
243,86,Ultraviolet S,1,1,0,1,,1628,1,102,0.07
244,86,Xray S,1,1,0,1,,2532,1,102,0.07
245,86,Gamma S,1,1,0,1,,3508,1,102,0.07
246,86,Multifrequency S,1,1,0,1,,4000,1,102,0.07
247,86,Radio M,1,1,0,1,,31062,1,103,0.07
248,86,Microwave M,1,1,0,1,,20192,1,103,0.07
249,86,Infrared M,1,1,0,1,,10192,1,103,0.07
250,86,Standard M,1,1,0,1,,12736,1,103,0.07
251,86,Ultraviolet M,1,1,0,1,,15648,1,103,0.07
252,86,Xray M,1,1,0,1,,26064,1,103,0.07
253,86,Gamma M,1,1,0,1,,35160,1,103,0.07
254,86,Multifrequency M,1,1,0,1,,40072,1,103,0.07
255,86,Radio L,1,1,0,1,,336522,1,105,0.07
256,86,Microwave L,1,1,0,1,,218720,1,105,0.07
257,86,Infrared L,1,1,0,1,,108552,1,105,0.07
258,86,Standard L,1,1,0,1,,141320,1,105,0.07
259,86,Ultraviolet L,1,1,0,1,,166464,1,105,0.07
260,86,Xray L,1,1,0,1,,279152,1,105,0.07
261,86,Gamma L,1,1,0,1,,385880,1,105,0.07
262,86,Multifrequency L,1,1,0,1,,443296,1,105,0.07
263,87,Cap Booster 25,2.5,1,100,10,,1098,1,139,0.07
264,87,Cap Booster 50,5,2,100,10,,2824,1,139,0.07
265,1158,Heavy Defender Missile I,1000,0.03,0,100,,2168,1,116,0.07
266,387,Scourge Rocket,100,0.005,0,100,,270,1,922,0.07
267,89,Scourge Torpedo,1500,0.1,0,100,,32424,1,923,0.07
269,394,Mjolnir Auto-Targeting Light Missile I,700,0.015,0,100,4,828,1,914,0.07
270,92,Python Mine,1,0.15,0,10,,1494,0,,0.07
377,38,Small Shield Extender I,0,5,0,1,,5320,1,605,0.07
380,38,Small Shield Extender II,0,5,0,1,,57288,1,605,0.06
393,39,Shield Recharger I,0,5,1,1,,9476,1,126,0.07
394,39,Shield Recharger II,0,5,1,1,,45294,1,126,0.06
399,40,Small Shield Booster I,0,5,0,1,,10118,1,609,0.07
400,40,Small Shield Booster II,0,5,0,1,,61436,1,609,0.06
405,41,Micro Remote Shield Booster I,0,2.5,0,1,,1998,1,604,0.07
406,41,Micro Remote Shield Booster II,0,2.5,0,1,,35736,1,604,0.06
421,43,Basic Capacitor Recharger,1,5,0,1,,9500,1,665,0.07
434,46,1MN Microwarpdrive I,0,10,0,1,,34966,1,131,0.07
438,46,1MN Afterburner II,0,5,0,1,,366332,1,542,0.06
439,46,1MN Afterburner I,0,5,0,1,,7104,1,542,0.07
440,46,1MN Microwarpdrive II,0,10,0,1,,1074512,1,131,0.06
442,47,Cargo Scanner I,0,5,0,1,,1650,1,711,0.07
443,48,Ship Scanner I,0,5,0,1,,2190,1,713,0.07
444,49,Survey Scanner I,0,5,0,1,,2222,1,714,0.07
447,52,Warp Scrambler I,0,5,0,1,,43380,1,1936,0.07
448,52,Warp Scrambler II,0,5,0,1,,441678,1,1936,0.06
450,53,Gatling Pulse Laser I,500,5,1,1,,2222,1,570,0.07
451,53,Dual Light Pulse Laser I,500,5,1,1,,6308,1,570,0.07
452,53,Dual Light Beam Laser I,500,5,1,1,,9740,1,567,0.07
453,53,Small Focused Pulse Laser I,500,5,1,1,,13368,1,570,0.07
454,53,Small Focused Beam Laser I,500,5,1,1,,16152,1,567,0.07
455,53,Quad Light Beam Laser I,1000,10,1,1,,20578,1,568,0.07
456,53,Focused Medium Pulse Laser I,1000,10,1,1,,65762,1,572,0.07
457,53,Focused Medium Beam Laser I,1000,10,1,1,,99930,1,568,0.07
458,53,Heavy Pulse Laser I,1000,25,1,1,,133234,1,572,0.07
459,53,Heavy Beam Laser I,1000,25,1,1,,166754,1,568,0.07
460,53,Dual Heavy Pulse Laser I,2000,20,1,1,,218352,1,573,0.07
461,53,Dual Heavy Beam Laser I,2000,50,1,1,,667406,1,569,0.07
462,53,Mega Pulse Laser I,2000,50,1,1,,997950,1,573,0.07
463,53,Mega Beam Laser I,2000,50,1,1,,1336910,1,569,0.07
464,53,Tachyon Beam Laser I,2000,50,1,1,,1669120,1,569,0.07
482,54,Miner II,0,5,0,1,,124922,1,1039,0.06
483,54,Miner I,0,5,0,1,,10304,1,1039,0.07
484,55,125mm Gatling AutoCannon I,500,5,0.5,1,,2222,1,574,0.07
485,55,150mm Light AutoCannon I,500,5,0.4,1,,6440,1,574,0.07
486,55,200mm AutoCannon I,500,5,0.3,1,,9958,1,574,0.07
487,55,250mm Light Artillery Cannon I,500,5,0.1,1,,13320,1,577,0.07
488,55,280mm Howitzer Artillery I,500,5,0.05,1,,16210,1,577,0.07
489,55,Dual 180mm AutoCannon I,12.5,10,2.5,1,,22214,1,575,0.07
490,55,220mm Vulcan AutoCannon I,1000,10,2,1,,65762,1,575,0.07
491,55,425mm AutoCannon I,1000,10,1.5,1,,99930,1,575,0.07
492,55,650mm Artillery Cannon I,125,25,0.5,1,,133234,1,578,0.07
493,55,720mm Howitzer Artillery I,50,25,0.25,1,,166754,1,578,0.07
494,55,Dual 425mm AutoCannon I,200,20,5,1,,218352,1,576,0.07
495,55,Dual 650mm Repeating Cannon I,2000,50,4,1,,667406,1,576,0.07
496,55,800mm Repeating Cannon I,75,25,3,1,,997950,1,576,0.07
497,55,1200mm Artillery Cannon I,2000,50,1,1,,1336910,1,579,0.07
498,55,1400mm Howitzer Artillery I,2000,50,0.5,1,,1669120,1,579,0.07
499,509,Light Missile Launcher I,0,5,0.6,1,,6670,1,640,0.07
501,510,Heavy Missile Launcher I,0,10,0.9,1,,33348,1,642,0.07
503,508,Torpedo Launcher I,0,20,1.5,1,,109796,1,644,0.07
506,767,Basic Capacitor Power Relay,20,5,0,1,,4864,1,667,0.07
508,770,Basic Shield Flux Coil,20,5,0,1,,1664,1,687,0.07
509,768,'Basic' Capacitor Flux Coil,20,5,0,1,,1664,1,666,0.07
518,59,Basic Gyrostabilizer,0,5,0,1,,9728,1,646,0.07
519,59,Gyrostabilizer II,0,5,0,1,,392034,1,646,0.06
520,59,Gyrostabilizer I,0,5,0,1,,26530,1,646,0.07
521,60,Basic Damage Control,5000,5,0,1,,2000,1,615,0.07
522,61,Micro Capacitor Battery I,0,2.5,0,1,,4000,1,702,0.07
523,62,Small Armor Repairer I,500,5,0,1,,20404,1,1049,0.07
524,63,Small Hull Repairer I,1000,12.5,0,1,,55556,1,1053,0.07
526,65,Stasis Webifier I,0,5,0,1,,24988,1,683,0.07
527,65,Stasis Webifier II,0,5,0,1,,330598,1,683,0.06
529,67,Small Remote Capacitor Transmitter I,1000,25,0,1,,32256,1,695,0.07
530,68,Small Nosferatu I,1000,5,0,1,,43002,1,692,0.07
533,71,Small Energy Neutralizer I,2000,5,0,1,,30216,1,689,0.07
561,74,75mm Gatling Rail I,500,5,0.5,1,,2222,1,564,0.07
562,74,Light Electron Blaster I,500,5,0.5,1,,6440,1,561,0.07
563,74,Light Ion Blaster I,500,5,0.3,1,,9958,1,561,0.07
564,74,Light Neutron Blaster I,500,5,0.2,1,,13320,1,561,0.07
565,74,150mm Railgun I,500,5,0.1,1,,16210,1,564,0.07
566,74,Heavy Electron Blaster I,2000,10,2.5,1,,65762,1,562,0.07
567,74,Dual 150mm Railgun I,1000,10,2,1,,22214,1,565,0.07
568,74,Heavy Neutron Blaster I,1000,25,1,1,,133234,1,562,0.07
569,74,Heavy Ion Blaster I,1000,10,1.5,1,,99930,1,562,0.07
570,74,250mm Railgun I,1000,25,0.5,1,,166754,1,565,0.07
571,74,Electron Blaster Cannon I,2000,50,5,1,,667406,1,563,0.07
572,74,Dual 250mm Railgun I,2000,20,4,1,,218350,1,566,0.07
573,74,Neutron Blaster Cannon I,2000,50,2,1,,1336910,1,563,0.07
574,74,425mm Railgun I,2000,50,1,1,,1669120,1,566,0.07
575,74,Ion Blaster Cannon I,2000,50,3,1,,997950,1,563,0.07
577,76,Medium Capacitor Booster I,0,10,32,1,,30116,1,700,0.07
578,77,Adaptive Invulnerability Field I,10000,20,0,1,,83310,1,1696,0.07
580,80,ECM Burst I,5000,5,0,1,,42900,1,678,0.07
581,82,Passive Targeter I,2000,25,0,1,,27778,1,672,0.07
582,25,Bantam,1480000,20000,270,1,1,255772,1,61,0.07
583,25,Condor,1100000,18000,130,1,1,221952,1,61,0.07
584,25,Griffin,1056000,19400,260,1,1,286426,1,61,0.07
585,25,Slasher,1075000,17400,120,1,2,225550,1,64,0.07
586,25,Probe,1123000,19500,400,1,2,315320,1,64,0.07
587,25,Rifter,1067000,27289,140,1,2,323108,1,64,0.07
588,237,Reaper,1157000,15800,120,1,2,0,1,1819,0.07
589,25,Executioner,1090000,28100,115,1,4,222556,1,72,0.07
590,25,Inquisitor,1630000,28700,250,1,4,234726,1,72,0.07
591,25,Tormentor,1080000,24398,130,1,4,279676,1,72,0.07
592,25,Navitas,1450000,10000,280,1,8,253674,1,77,0.07
593,25,Tristan,956000,26500,140,1,8,306610,1,77,0.07
594,25,Incursus,1028000,29500,165,1,8,268770,1,77,0.07
595,25,Gallente Police Ship,2040000,20400,200,1,8,0,0,,0.07
596,237,Impairor,1148000,28100,115,1,4,0,1,1816,0.07
597,25,Punisher,1190000,28600,135,1,4,318476,1,72,0.07
598,25,Breacher,1087000,20000,175,1,2,271972,1,64,0.07
599,25,Burst,1420000,17100,260,1,2,251404,1,64,0.07
600,25,Minmatar Peacekeeper Ship,1200000,12000,80,1,2,0,0,,0.07
601,237,Ibis,1163000,15000,125,1,1,0,1,1817,0.07
602,25,Kestrel,1113000,19700,160,1,1,365860,1,61,0.07
603,25,Merlin,997000,16500,150,1,1,309782,1,61,0.07
605,25,Heron,1150000,18900,400,1,1,342754,1,61,0.07
606,237,Velator,1148000,24500,135,1,8,0,1,1818,0.07
607,25,Imicus,997000,21500,400,1,8,322198,1,77,0.07
608,25,Atron,1050000,22500,145,1,8,219872,1,77,0.07
609,25,Maulus,1063000,23000,275,1,8,221168,1,77,0.07
613,25,Devourer,1200000,19100,110,1,2,0,0,,0.07
614,25,Fury,1200000,26000,180,1,2,0,0,,0.07
615,237,Immolator,1148000,17400,115,1,4,0,1,1619,0.07
616,25,Medusa,1200000,17500,30,1,2,0,0,,0.07
617,237,Echo,1157000,17660,120,1,2,0,1,1619,0.07
618,25,Lynx,1200000,22500,200,1,2,0,0,,0.07
619,25,Swordspine,1047000,21120,220,1,2,0,0,,0.07
620,26,Osprey,11100000,107000,485,1,1,6683096,1,75,0.07
621,26,Caracal,11910000,92000,450,1,1,9994312,1,75,0.07
622,26,Stabber,11400000,80000,420,1,2,8831574,1,73,0.07
623,26,Moa,12000000,101000,450,1,1,9263598,1,75,0.07
624,26,Maller,13150000,118000,480,1,4,8932234,1,74,0.07
625,26,Augoror,12870000,115000,465,1,4,6340900,1,74,0.07
626,26,Vexor,11100000,115000,480,1,8,9201700,1,76,0.07
627,26,Thorax,11280000,112000,465,1,8,8783588,1,76,0.07
628,26,Arbitrator,11200000,120000,345,1,4,7327896,1,74,0.07
629,26,Rupture,12200000,96000,450,1,2,9214662,1,73,0.07
630,26,Bellicose,11550000,85000,315,1,2,7104962,1,73,0.07
631,26,Scythe,11110000,89000,475,1,2,6490410,1,73,0.07
632,26,Blackbird,13190000,96000,305,1,1,7946222,1,75,0.07
633,26,Celestis,12070000,116000,320,1,8,7298580,1,76,0.07
634,26,Exequror,11020000,113000,495,1,8,6585014,1,76,0.07
635,26,Opux Luxury Yacht,13075000,115000,1750,1,8,0,1,,0.07
638,27,Raven,99300000,486000,665,1,1,152131342,1,80,0.07
639,27,Tempest,99500000,450000,600,1,2,145161154,1,78,0.07
640,27,Scorpion,103600000,468000,550,1,1,142385086,1,80,0.07
641,27,Megathron,98400000,486000,675,1,8,147335074,1,81,0.07
642,27,Apocalypse,97100000,495000,675,1,4,152909454,1,79,0.07
643,27,Armageddon,105200000,486000,600,1,4,186163358,1,79,0.07
644,27,Typhoon,100600000,414000,625,1,2,140051702,1,78,0.07
645,27,Dominix,100250000,454500,600,1,8,167970592,1,81,0.07
648,28,Badger,10650000,250000,3900,1,1,744134,1,84,0.07
649,28,Tayra,13000000,270000,7300,1,1,895792,1,84,0.07
650,28,Nereus,11250000,240000,2700,1,8,695722,1,83,0.07
651,28,Hoarder,10625000,400000,500,1,2,713696,1,82,0.07
652,28,Mammoth,11500000,255000,5500,1,2,1054802,1,82,0.07
653,28,Wreathe,10000000,225000,2900,1,2,656292,1,82,0.07
654,28,Kryos,12625000,245000,550,1,8,772406,1,83,0.07
655,28,Epithal,12800000,250000,550,1,8,659488,1,83,0.07
656,28,Miasmos,12975000,265000,550,1,8,724436,1,83,0.07
657,28,Iteron Mark V,13500000,275000,5800,1,8,1048840,1,83,0.07
670,29,Capsule,32000,1000,0,1,16,0,0,,0.07
671,30,Erebus,2379370000,145500000,16250,1,8,63708870556,1,815,0.07
672,31,Caldari Shuttle,1600000,5000,10,1,1,5556,1,396,0.07
681,104,Clone Grade Beta Blueprint,0,0.01,0,1,,9999999,0,,0
682,104,Clone Grade Gamma Blueprint,0,0.01,0,1,,9999999,0,,0
683,105,Bantam Blueprint,0,0.01,0,1,,2550000,1,261,0
684,105,Condor Blueprint,0,0.01,0,1,,2150000,1,261,0
685,105,Griffin Blueprint,0,0.01,0,1,,2350000,1,261,0
686,106,Osprey Blueprint,0,0.01,0,1,,80500000,1,275,0
687,106,Caracal Blueprint,0,0.01,0,1,,82500000,1,275,0
688,107,Raven Blueprint,0,0.01,0,1,,1135000000,1,280,0
689,105,Slasher Blueprint,0,0.01,0,1,,2100000,1,264,0
690,105,Probe Blueprint,0,0.01,0,1,,2700000,1,264,0
691,105,Rifter Blueprint,0,0.01,0,1,,2800000,1,264,0
692,106,Stabber Blueprint,0,0.01,0,1,,82000000,1,273,0
693,107,Tempest Blueprint,0,0.01,0,1,,1055000000,1,278,0
784,134,Miner II Blueprint,0,0.01,0,1,,463600,1,,0
785,134,Miner I Blueprint,0,0.01,0,1,,92720,1,338,0
786,136,Light Missile Launcher I Blueprint,0,0.01,0,1,,60000,1,340,0
788,136,Heavy Missile Launcher I Blueprint,0,0.01,0,1,,300000,1,340,0
790,136,Torpedo Launcher I Blueprint,0,0.01,0,1,,999960,1,340,0
803,166,Mjolnir Cruise Missile Blueprint,1,0.01,0,1,,5000000,1,1526,0
804,166,Scourge Cruise Missile Blueprint,1,0.01,0,1,,3000000,1,1526,0
805,166,Inferno Cruise Missile Blueprint,1,0.01,0,1,,4000000,1,1526,0
806,166,Nova Cruise Missile Blueprint,1,0.01,0,1,,2500000,1,1526,0
807,166,Nova Heavy Missile Blueprint,1,0.01,0,1,,700000,1,1527,0
808,166,Mjolnir Heavy Missile Blueprint,1,0.01,0,1,,900000,1,1527,0
809,166,Inferno Heavy Missile Blueprint,1,0.01,0,1,,800000,1,1527,0
810,166,Scourge Heavy Missile Blueprint,1,0.01,0,1,,750000,1,1527,0
811,166,Scourge Light Missile Blueprint,1,0.01,0,1,,150000,1,1528,0
812,166,Inferno Light Missile Blueprint,1,0.01,0,1,,160000,1,1528,0
813,166,Mjolnir Light Missile Blueprint,1,0.01,0,1,,180000,1,1528,0
814,166,Nova Light Missile Blueprint,1,0.01,0,1,,140000,1,1528,0
819,135,125mm Gatling AutoCannon I Blueprint,0,0.01,0,1,,20000,1,296,0
820,135,150mm Light AutoCannon I Blueprint,0,0.01,0,1,,60000,1,296,0
821,135,200mm AutoCannon I Blueprint,0,0.01,0,1,,90000,1,296,0
822,135,250mm Light Artillery Cannon I Blueprint,0,0.01,0,1,,120000,1,296,0
823,135,280mm Howitzer Artillery I Blueprint,0,0.01,0,1,,150000,1,296,0
824,135,Dual 180mm AutoCannon I Blueprint,0,0.01,0,1,,200000,1,297,0
825,135,220mm Vulcan AutoCannon I Blueprint,0,0.01,0,1,,600000,1,297,0
826,135,425mm AutoCannon I Blueprint,0,0.01,0,1,,900000,1,297,0
827,135,650mm Artillery Cannon I Blueprint,0,0.01,0,1,,1200000,1,297,0
828,135,720mm Howitzer Artillery I Blueprint,0,0.01,0,1,,1500000,1,297,0
829,135,Dual 425mm AutoCannon I Blueprint,0,0.01,0,1,,2000000,1,298,0
830,135,Dual 650mm Repeating Cannon I Blueprint,0,0.01,0,1,,6000000,1,298,0
831,135,800mm Repeating Cannon I Blueprint,0,0.01,0,1,,9000000,1,298,0
832,135,1200mm Artillery Cannon I Blueprint,0,0.01,0,1,,12000000,1,298,0
833,135,1400mm Howitzer Artillery I Blueprint,0,0.01,0,1,,15000000,1,298,0
834,133,Gatling Pulse Laser I Blueprint,0,0.01,0,1,,20000,1,292,0
835,133,Dual Light Pulse Laser I Blueprint,0,0.01,0,1,,60000,1,292,0
836,133,Dual Light Beam Laser I Blueprint,0,0.01,0,1,,90000,1,292,0
837,133,Small Focused Pulse Laser I Blueprint,0,0.01,0,1,,120000,1,292,0
838,133,Small Focused Beam Laser I Blueprint,0,0.01,0,1,,150000,1,292,0
839,133,Quad Light Beam Laser I Blueprint,0,0.01,0,1,,185280,1,293,0
840,133,Focused Medium Pulse Laser I Blueprint,0,0.01,0,1,,600000,1,293,0
841,133,Focused Medium Beam Laser I Blueprint,0,0.01,0,1,,900000,1,293,0
842,133,Heavy Pulse Laser I Blueprint,0,0.01,0,1,,1200000,1,293,0
843,133,Heavy Beam Laser I Blueprint,0,0.01,0,1,,1500000,1,293,0
844,133,Dual Heavy Pulse Laser I Blueprint,0,0.01,0,1,,2000000,1,295,0
845,133,Dual Heavy Beam Laser I Blueprint,0,0.01,0,1,,6000000,1,295,0
846,133,Mega Pulse Laser I Blueprint,0,0.01,0,1,,9000000,1,295,0
847,133,Mega Beam Laser I Blueprint,0,0.01,0,1,,12000000,1,295,0
848,133,Tachyon Beam Laser I Blueprint,0,0.01,0,1,,15000000,1,295,0
879,165,Carbonized Lead S Blueprint,0,0.01,0,1,,20000,1,313,0
880,165,Nuclear S Blueprint,0,0.01,0,1,,30000,1,313,0
881,165,Proton S Blueprint,0,0.01,0,1,,40000,1,313,0
882,165,Depleted Uranium S Blueprint,0,0.01,0,1,,50000,1,313,0
883,165,Titanium Sabot S Blueprint,0,0.01,0,1,,60000,1,313,0
884,165,Fusion S Blueprint,0,0.01,0,1,,70000,1,313,0
885,165,Phased Plasma S Blueprint,0,0.01,0,1,,80000,1,313,0
886,165,EMP S Blueprint,0,0.01,0,1,,100000,1,313,0
887,165,Carbonized Lead M Blueprint,0,0.01,0,1,,80000,1,312,0
888,165,Nuclear M Blueprint,0,0.01,0,1,,120000,1,312,0
889,165,Proton M Blueprint,0,0.01,0,1,,165000,1,312,0
890,165,Depleted Uranium M Blueprint,0,0.01,0,1,,205000,1,312,0
891,165,Titanium Sabot M Blueprint,0,0.01,0,1,,235000,1,312,0
892,165,Fusion M Blueprint,0,0.01,0,1,,275000,1,312,0
893,165,Phased Plasma M Blueprint,0,0.01,0,1,,325000,1,312,0
894,165,EMP M Blueprint,0,0.01,0,1,,400000,1,312,0
895,165,Carbonized Lead L Blueprint,0,0.01,0,1,,200000,1,309,0
896,165,Nuclear L Blueprint,0,0.01,0,1,,300000,1,309,0
897,165,Proton L Blueprint,0,0.01,0,1,,400000,1,309,0
898,165,Depleted Uranium L Blueprint,0,0.01,0,1,,500000,1,309,0
899,165,Titanium Sabot L Blueprint,0,0.01,0,1,,600000,1,309,0
900,165,Fusion L Blueprint,0,0.01,0,1,,700000,1,309,0
901,165,Phased Plasma L Blueprint,0,0.01,0,1,,800000,1,309,0
902,165,EMP L Blueprint,0,0.01,0,1,,1000000,1,309,0
935,105,Reaper Blueprint,0,0.01,0,1,,9999999,0,,0
936,105,Executioner Blueprint,0,0.01,0,1,,2175000,1,272,0
