MARKETGROUPID,PARENTGROUPID,MARKETGROUPNAME,ICONID,HASTYPES
448,1368,Heavy Assault Cruisers,1443,0
449,448,Amarr,20959,1
450,448,Caldari,20966,1
451,448,Gallente,20967,1
452,448,Minmatar,20968,1
453,204,Heavy Assault Cruisers,2703,0
454,453,Amarr,2703,1
455,453,Caldari,2703,1
456,453,Gallente,2703,1
457,453,Minmatar,2703,1
458,204,Assault Frigates,2703,0
459,458,Amarr,2703,1
461,458,Caldari,2703,1
462,458,Gallente,2703,1
463,458,Minmatar,2703,1
464,1372,Standard Destroyers,1443,0
465,464,Amarr,20959,1
466,464,Caldari,20966,1
467,464,Gallente,20967,1
468,464,Minmatar,20968,1
469,1374,Standard Battlecruisers,1443,0
470,469,Amarr,20959,1
471,469,Caldari,20966,1
472,469,Gallente,20967,1
473,469,Minmatar,20968,1
475,,Manufacture & Research,1436,0
477,,Structures,2222,0
478,1285,Control Towers,2222,1
479,480,Missile Batteries,2222,1
480,1285,Weapon Batteries,2222,0
481,480,Electronic Warfare Batteries,2222,1
482,1285,Reprocessing Arrays,2222,1
483,1285,Silos,2222,1
484,1285,Ship Maintenance Arrays,2222,1
485,1285,Shield Hardening Arrays,2222,1
488,1285,Moon Harvesting Arrays,2222,1
490,1285,Reactors,2222,1
491,19,Narcotics,1194,1
492,19,Consumer Products,1182,1
494,1384,Mining Barges,1443,1
496,204,Mining Barges,2703,0
497,496,ORE,2703,1
499,1034,Advanced Moon Materials,2679,1
500,1034,Processed Moon Materials,2664,1
501,1034,Raw Moon Materials,2668,1
502,845,Extra Large,1004,1
503,851,Extra Large,1142,1
504,848,Extra Large,1047,1
505,114,Citadel Torpedoes,1346,0
506,1285,Corporate Hangar Array,2222,1
512,54,Arkonor,1277,1
514,54,Bistot,1273,1
515,54,Pyroxeres,231,1
516,54,Plagioclase,230,1
517,54,Spodumain,1274,1
518,54,Veldspar,232,1
519,54,Scordite,1356,1
521,54,Crokite,1272,1
522,54,Dark Ochre,1275,1
523,54,Kernite,1270,1
525,54,Gneiss,1377,1
526,54,Omber,1271,1
527,54,Hedbergite,1269,1
528,54,Hemorphite,1282,1
529,54,Jaspet,1279,1
530,54,Mercoxit,2102,1
531,27,Skill Hardwiring,2224,0
532,27,Attribute Enhancers,2062,0
533,475,Materials,1201,0
535,14,Armor Hardeners,1030,0
537,14,Remote Armor Repairers,80,0
538,14,Hull Repairers,80,0
540,14,Resistance Plating,1030,0
541,14,Energized Plating,2066,0
542,52,Afterburners,96,1
550,554,Shield Resistance Amplifiers,20939,0
551,554,Shield Extenders,1044,0
552,554,Shield Boosters,84,0
553,554,Shield Hardeners,81,0
554,9,Shield,69,0
555,86,Railguns,366,0
556,86,Blasters,365,0
557,88,Beam Lasers,361,0
558,88,Pulse Lasers,360,0
559,87,Autocannons,381,0
560,87,Artillery Cannons,381,0
561,556,Small,376,1
562,556,Medium,371,1
563,556,Large,365,1
564,555,Small,349,1
565,555,Medium,370,1
566,555,Large,366,1
567,557,Small,352,1
568,557,Medium,355,1
569,557,Large,361,1
570,558,Small,350,1
572,558,Medium,356,1
573,558,Large,360,1
574,559,Small,387,1
575,559,Medium,386,1
576,559,Large,381,1
577,560,Small,389,1
578,560,Medium,384,1
579,560,Large,379,1
580,114,Cruise Missiles,184,0
581,114,Heavy Missiles,186,0
582,204,Destroyers,2703,0
583,582,Amarr,2703,1
584,582,Caldari,2703,1
585,582,Gallente,2703,1
586,582,Minmatar,2703,1
588,204,Battlecruisers,2703,0
589,588,Amarr,2703,1
590,588,Caldari,2703,1
591,588,Gallente,2703,1
592,588,Minmatar,2703,1
593,11,Mining Crystals,2654,1
594,480,Projectile Batteries,2222,1
595,480,Hybrid Batteries,2222,1
596,480,Laser Batteries,2222,1
597,299,Extra Large,2703,1
598,300,Extra Large,2703,1
599,301,Extra Large,2703,1
600,128,Capital,86,1
601,128,Large,86,1
602,128,Medium,86,1
603,128,Small,86,1
604,128,Micro,86,1
605,551,Small,1044,1
606,551,Medium,1044,1
607,551,Micro,1044,1
608,551,Large,1044,1
609,552,Small,84,1
610,552,Medium,84,1
611,552,Large,84,1
612,552,Extra Large,84,1
613,552,Boost Amplifiers,84,1
614,19,Criminal Evidence,2302,0
615,14,Damage Controls,77,1
616,19,Insignias,2552,0
617,314,Citadel Torpedoes,2703,1
618,532,Implant Slot 01,2062,1
619,532,Implant Slot 02,2062,1
620,532,Implant Slot 03,2062,1
621,532,Implant Slot 04,2062,1
622,532,Implant Slot 05,2062,1
629,1385,Transport Ships,1443,0
630,629,Amarr,20959,1
631,629,Caldari,20966,1
632,629,Gallente,20967,1
633,629,Minmatar,20968,1
634,204,Transport Ships,2703,0
635,634,Amarr,2703,1
636,634,Caldari,2703,1
637,634,Gallente,2703,1
638,634,Minmatar,2703,1
639,140,Rocket Launchers,1345,1
640,140,Light Missile Launchers,168,1
641,140,Rapid Light Missile Launchers,1345,1
642,140,Heavy Launchers,169,1
643,140,Cruise Launchers,2530,1
644,140,Torpedo Launchers,170,1
645,143,Ballistic Control Systems,2531,1
646,143,Gyrostabilizers,1046,1
647,143,Heat Sinks,1046,1
648,143,Magnetic Field Stabilizers,1046,1
655,9,Engineering Equipment,70,0
656,9,Electronics and Sensor Upgrades,104,0
657,9,Electronic Warfare,111,0
658,655,Power Diagnostic Systems,70,1
659,655,Reactor Control Units,70,1
660,655,Auxiliary Power Controls,2105,1
661,655,Energy Destabilizers,1283,0
662,655,Energy Vampires,1029,0
663,655,Remote Capacitor Transmitters,1035,0
664,655,Capacitor Batteries,89,0
665,655,Capacitor Rechargers,90,1
666,655,Capacitor Flux Coils,90,1
667,655,Capacitor Power Relays,90,1
668,655,Capacitor Boosters,1031,0
669,656,Signal Amplifiers,104,1
670,656,Automated Targeting Systems,104,1
671,656,Sensor Boosters,74,1
672,656,Passive Targeting Systems,104,1
673,656,Remote Sensor Boosters,74,1
675,656,Cloaking Devices,2106,1
676,656,CPU Upgrades,1405,1
677,657,Electronic Counter Measures,109,0
678,657,ECM Bursts,109,1
679,657,Remote Sensor Dampeners,105,1
680,657,Tracking Disruptors,1639,1
681,657,Sensor Backup Arrays,104,0
683,657,Stasis Webifiers,1284,1
685,657,ECCM,104,0
686,657,Projected ECCM,110,1
687,554,Shield Flux Coils,83,1
688,554,Shield Power Relays,83,1
689,661,Small,1283,1
690,661,Medium,1283,1
691,661,Heavy,1283,1
692,662,Small,1029,1
693,662,Medium,1029,1
694,662,Heavy,1029,1
695,663,Small,1035,1
696,663,Medium,1035,1
697,663,Large,1035,1
698,668,Micro,1031,1
699,668,Small,1031,1
700,668,Medium,1031,1
701,668,Heavy,1031,1
702,664,Micro,89,1
703,664,Small,89,1
704,664,Medium,89,1
705,664,Large,89,1
706,143,Tracking Computers,3346,1
707,143,Tracking Enhancers,1640,1
708,143,Remote Tracking Computers,3346,1
711,1708,Cargo Scanners,106,1
712,1708,Scan Probe Launchers,2677,1
713,1708,Ship Scanners,107,1
714,1708,Survey Scanners,2732,1
715,677,Magnetometric Jammers,3227,1
716,677,Ladar Jammers,3228,1
717,677,Gravimetric Jammers,3226,1
718,677,Radar Jammers,3229,1
719,677,Multi Spectrum Jammers,109,1
720,681,Gravimetric Backup Arrays,104,1
721,681,Ladar Backup Arrays,104,1
722,681,Radar Backup Arrays,104,1
723,681,Magnetometric Backup Arrays,104,1
724,681,Multi-Frequency Backup Arrays,104,1
725,685,Gravimetric Sensors,104,1
726,685,Ladar Sensors,104,1
727,685,Magnetometric Sensors,104,1
728,685,Multi-Spectrum Sensors,104,1
729,685,Radar Sensors,104,1
730,616,Amarr Navy,2552,1
731,616,Ammatar Navy,2552,1
732,616,Caldari Navy,2552,1
733,616,CONCORD,2552,1
734,616,Gallente Navy,2552,1
735,616,Khanid Navy,2552,1
736,616,Minmatar Fleet,2552,1
737,616,Individuals,2552,1
738,19,Nexus Chips,2038,1
739,19,Criminal Dog Tags,2325,0
740,739,Angels,2312,1
741,739,Blood Raiders,2317,1
742,739,Dark Blood,2317,1
743,739,Domination,2312,1
744,739,Dread Guristas,2327,1
745,739,Guristas,2327,1
746,739,Sansha,2332,1
747,739,Serpentis,2322,1
748,739,Shadow Serpentis,2322,1
749,739,True Sansha,2332,1
750,739,Commanders,2319,1
751,614,Overseer's Personal Effects,2039,1
752,614,Criminal DNA Patterns,2302,1
753,211,Mining Crystals,2703,1
754,19,Political Paraphernalia,1204,1
757,657,Target Painters,2983,1
760,9,Civilian Modules,2536,1
761,1381,Dreadnoughts,1443,0
762,761,Amarr,20959,1
763,761,Caldari,20966,1
764,761,Gallente,20967,1
765,761,Minmatar,20968,1
766,1381,Freighters,1443,0
767,766,Amarr,20959,1
768,766,Caldari,20966,1
769,766,Gallente,20967,1
770,766,Minmatar,20968,1
771,556,Extra Large,2836,1
772,555,Extra Large,2840,1
773,557,Extra Large,2837,1
774,558,Extra Large,2841,1
775,560,Extra Large,2842,1
776,559,Extra Large,2838,1
777,140,Citadel Launchers,3955,1
778,552,Capital,84,1
779,9,Fleet Assistance Modules,20969,0
781,1035,Standard Capital Ship Components,2863,1
782,204,Dreadnoughts,2703,0
783,782,Amarr,2703,1
784,782,Caldari,2703,1
785,782,Gallente,2703,1
786,782,Minmatar,2703,1
787,204,Freighters,2703,0
788,787,Amarr,2703,1
789,787,Caldari,2703,1
790,787,Gallente,2703,1
791,787,Minmatar,2703,1
792,286,Extra Large,2703,1
793,287,Extra Large,2703,1
794,288,Extra Large,2703,1
796,800,Standard Capital Ship Components,2703,1
798,800,Outpost Components,2703,0
799,209,Fleet Assistance Modules,2703,1
800,1041,Components,2703,0
801,143,Siege Modules,2851,1
802,65,Amarr,20959,1
803,65,Caldari,20966,1
812,1381,Titans,1443,0
813,812,Amarr,20959,1
814,812,Caldari,20966,1
815,812,Gallente,20967,1
816,812,Minmatar,20968,1
817,1381,Carriers,1443,0
818,817,Amarr,20959,1
819,817,Caldari,20966,1
820,817,Gallente,20967,1
821,817,Minmatar,20968,1
822,1375,Command Ships,1443,0
823,1373,Interdictors,1443,0
824,1368,Recon Ships,1443,0
825,822,Amarr,20959,1
826,823,Amarr,20959,1
827,824,Amarr,20959,1
828,822,Caldari,20966,1
829,823,Caldari,20966,1
830,824,Caldari,20966,1
831,822,Gallente,20967,1
832,823,Gallente,20967,1
833,824,Gallente,20967,1
834,822,Minmatar,20968,1
835,823,Minmatar,20968,1
836,824,Minmatar,20968,1
837,159,Light Scout Drones,1084,1
838,159,Medium Scout Drones,1084,1
839,159,Heavy Attack Drones,1084,1
840,159,Fighters,1084,1
841,157,Electronic Warfare Drones,1084,1
842,157,Logistic Drones,1084,1
843,157,Combat Utility Drones,1084,1
845,99,Standard Ammo,1004,0
846,99,Advanced Artillery Ammo,1287,0
847,99,Advanced Autocannon Ammo,1291,0
848,100,Standard Charges,1047,0
849,100,Advanced Blaster Charges,1310,0
850,100,Advanced Railgun Charges,1311,0
851,101,Standard Crystals,1142,0
852,101,Advanced Beam Laser Crystals,1145,0
853,101,Advanced Pulse Laser Crystals,1140,0
854,846,Large,1287,1
855,846,Medium,1287,1
856,846,Small,1287,1
857,847,Large,1291,1
858,847,Medium,1291,1
859,847,Small,1291,1
860,849,Large,1310,1
861,849,Medium,1310,1
862,849,Small,1310,1
863,850,Large,1311,1
864,850,Medium,1311,1
865,850,Small,1311,1
866,852,Large,1145,1
867,852,Medium,1145,1
868,852,Small,1145,1
869,853,Large,1140,1
870,853,Medium,1140,1
871,853,Small,1140,1
872,656,Tractor Beams,2986,1
874,1384,Exhumers,1443,1
878,204,Titans,2703,0
879,204,Carriers,2703,0
880,204,Interdictors,2703,0
881,204,Command Ships,2703,0
882,204,Recon Ships,2703,0
883,204,Exhumers,2703,0
884,878,Amarr,2703,1
885,878,Caldari,2703,1
886,878,Gallente,2703,1
887,878,Minmatar,2703,1
888,879,Amarr,2703,1
889,879,Caldari,2703,1
890,879,Gallente,2703,1
891,879,Minmatar,2703,1
892,880,Amarr,2703,1
893,880,Caldari,2703,1
894,880,Gallente,2703,1
895,880,Minmatar,2703,1
896,881,Amarr,2703,1
897,881,Caldari,2703,1
898,881,Gallente,2703,1
899,881,Minmatar,2703,1
900,882,Amarr,2703,1
901,882,Caldari,2703,1
902,882,Gallente,2703,1
903,882,Minmatar,2703,1
904,883,ORE,2703,1
905,1578,Tractor Beams,2703,1
910,663,Capital,1035,1
911,159,Sentry Drones,1084,1
912,10,Doomsday Devices,2934,1
913,210,Doomsday Devices,2703,1
914,115,Standard Auto-Targeting,1335,1
917,117,Advanced High Precision Light Missiles,192,1
918,580,Advanced High Precision Cruise Missiles,184,1
919,581,Advanced High Precision Heavy Missiles,186,1
920,117,Standard Light Missiles,192,1
921,580,Standard Cruise Missiles,184,1
922,118,Standard Rockets,1352,1
923,387,Standard Torpedoes,1349,1
924,581,Standard Heavy Missiles,186,1
925,580,Advanced High Damage Cruise Missiles,184,1
926,581,Advanced High Damage Heavy Missiles,186,1
927,117,Advanced High Damage Light Missiles,192,1
928,118,Advanced Long Range Rockets,1352,1
929,387,Advanced Long Range Torpedoes,1349,1
930,118,Advanced Anti-Ship Rockets,1352,1
931,387,Advanced Anti-Ship Torpedoes,1349,1
932,1285,Assembly Arrays,2222,1
933,1285,Laboratory,2222,1
935,1713,Mining Upgrades,1046,1
937,1711,Mining Upgrades,2703,1
938,9,Drone Upgrades,2989,1
939,209,Drone Upgrades,2703,1
940,19,Starbase Charters,1192,1
943,2,Ship Modifications,2703,0
944,943,Armor Rigs,2703,0
945,943,Astronautic Rigs,2703,0
946,943,Drone Rigs,2703,0
948,943,Electronics Superiority Rigs,2703,0
949,943,Engineering Rigs,2703,0
950,943,Energy Weapon Rigs,2703,0
951,943,Hybrid Weapon Rigs,2703,0
952,943,Missile Launcher Rigs,2703,0
953,943,Projectile Weapon Rigs,2703,0
954,943,Shield Rigs,2703,0
955,,Ship Modifications,2887,0
956,1111,Armor Rigs,3194,0
957,1111,Astronautic Rigs,3196,0
958,1111,Drone Rigs,3200,0
960,1111,Electronics Superiority Rigs,3198,0
961,1111,Engineering Rigs,3195,0
962,1111,Energy Weapon Rigs,3203,0
963,1111,Hybrid Weapon Rigs,3202,0
964,1111,Missile Launcher Rigs,3197,0
965,1111,Shield Rigs,3193,0
967,677,Signal Distortion Amplifier,1046,1
968,114,Heavy Assault Missiles,186,0
971,968,Standard Heavy Assault Missiles,186,1
972,968,Advanced Long Range Heavy Assault Missiles,186,1
973,968,Advanced Anti-Ship Heavy Assault Missile,186,1
974,140,Heavy Assault Launchers,3241,1
975,314,Heavy Assault Missiles,2703,1
977,24,Booster,3211,1
979,1111,Projectile Weapon Rigs,3201,0
983,1032,Booster Gas Clouds,3220,1
986,99,Faction Ammo,1288,0
987,986,Large,1288,1
988,986,Medium,1288,1
989,986,Small,1288,1
990,100,Faction Charges,1313,0
991,990,Large,1313,1
992,990,Medium,1313,1
993,990,Small,1313,1
994,101,Faction Crystals,1141,0
995,994,Large,1141,1
996,994,Medium,1141,1
997,994,Small,1141,1
998,117,Faction Light Missiles,192,1
999,118,Faction Rockets,1352,1
1000,387,Faction Torpedoes,1349,1
1001,580,Faction Cruise Missiles,184,1
1002,581,Faction Heavy Missiles,186,1
1003,968,Faction Heavy Assault Missiles,186,1
1004,990,Extra Large,1313,1
1006,986,Extra Large,1288,1
1007,994,Extra Large,1141,1
1008,406,Cargo Containers,2703,1
1009,480,Energy Neutralization Batteries,2222,1
1010,1285,System Scanning Array,2222,1
1011,1285,Jump Bridge ,2222,1
1012,1285,Cynosural System Jammer,2222,1
1013,1285,Cynosural Generator Array,2222,1
1014,10,Bomb Launchers,2677,1
1015,11,Bombs,3281,1
1016,211,Bombs,2703,1
1018,14,Remote Hull Repairers,80,0
1019,210,Bomb Launchers,2703,1
1021,1035,Outpost Components,3303,0
1022,1021,Improvement Platforms,3303,0
1027,1021,Outpost Upgrade Platforms,3303,1
1028,1530,Fighters,2703,1
1029,357,Electronic Warfare Drones,2703,1
1030,357,Logistic Drones,2703,1
1031,533,Raw materials,1277,0
1032,533,Gas Clouds Materials,3219,0
1033,533,Ice Products,2697,1
1034,533,Reaction Materials,2567,0
1035,475,Components,1436,0
1037,1713,Gas Cloud Harvesters,3074,1
1038,1713,Ice Harvesters,2526,1
1039,1713,Mining Lasers,1061,1
1040,1713,Strip Miners,2527,1
1041,2,Manufacture & Research,2703,0
1045,204,Capital Industrial Ships,2703,0
1046,1045,ORE,2703,1
1047,1381,Capital Industrial Ships,1443,0
1048,1047,ORE,1443,1
1049,134,Small ,80,1
1050,134,Medium,80,1
1051,134,Large,80,1
1052,134,Capital,80,1
1053,538,Small,80,1
1054,538,Medium,80,1
1055,538,Large,80,1
1056,537,Capital,80,1
1057,537,Large,80,1
1058,537,Medium,80,1
1059,537,Small,80,1
1060,1018,Small,80,1
1061,1018,Medium,80,1
1062,1018,Large,80,1
1063,1018,Capital,80,1
1065,1364,Electronic Attack Frigates,1443,0
1066,1065,Amarr,20959,1
1067,1065,Caldari,20966,1
1068,1065,Gallente,20967,1
1069,1065,Minmatar,20968,1
1070,1368,Heavy Interdiction Cruisers,1443,0
1071,1070,Amarr,20959,1
1072,1070,Caldari,20966,1
1073,1070,Gallente,20967,1
1074,1070,Minmatar,20968,1
1075,1377,Black Ops,1443,0
1076,1075,Amarr,20959,1
1077,1075,Caldari,20966,1
1078,1075,Gallente,20967,1
1079,1075,Minmatar,20968,1
1080,1377,Marauders,1443,0
1081,1080,Amarr,20959,1
1082,1080,Caldari,20966,1
1083,1080,Gallente,20967,1
1084,1080,Minmatar,20968,1
1085,657,Warp Disruption Field Generators,111,1
1086,132,Inertia Stabilizers,1041,1
1087,132,Overdrives,98,1
1088,132,Warp Core Stabilizers,97,1
1089,1381,Jump Freighters,1443,0
1090,1089,Amarr,20959,1
1091,1089,Caldari,20966,1
1092,1089,Gallente,20967,1
1093,1089,Minmatar,20968,1
1094,11,Scripts,3345,1
1097,800,Advanced Capital Ship Components,2703,0
1103,11,Nanite Repair Paste,3302,1
1105,211,Scripts,2703,1
1109,19,Sleeper Components,3755,1
1110,150,Scanning,33,1
1111,955,Rigs,3203,0
1112,955,Subsystems,3641,0
1122,1610,Amarr Engineering Subsystems,3636,1
1123,1625,Caldari Engineering Subsystems,3636,1
1124,1627,Gallente Engineering Subsystems,3636,1
1125,1626,Minmatar Engineering Subsystems,3636,1
1126,1610,Amarr Defensive Subsystems,3631,1
1127,1625,Caldari Defensive Subsystems,3631,1
1128,1626,Minmatar Defensive Subsystems,3631,1
1129,1627,Gallente Defensive Subsystems,3631,1
1130,1610,Amarr Offensive Subsystems,3641,1
1131,1625,Caldari Offensive Subsystems,3641,1
1132,1627,Gallente Offensive Subsystems,3641,1
1133,1626,Minmatar Offensive Subsystems,3641,1
1134,1610,Amarr Propulsion Subsystems,3646,1
1135,1625,Caldari Propulsion Subsystems,3646,1
1136,1627,Gallente Propulsion Subsystems,3646,1
1137,1626,Minmatar Propulsion Subsystems,3646,1
1138,1368,Strategic Cruisers,1443,0
1139,1138,Amarr,20959,1
1140,1138,Caldari,20966,1
1141,1138,Gallente,20967,1
1142,1138,Minmatar,20968,1
1147,1035,Subsystem Components,3721,1
1191,800,Subsystem Components,2703,1
1192,115,Faction Auto-Targeting,1335,1
1193,505,Standard Citadel Torpedoes,1346,1
1194,505,Faction Citadel Torpedoes,1346,1
1195,135,Reinforced Bulkheads,76,1
1196,135,Nanofiber Internal Structures,1042,1
1197,135,Expanded Cargoholds,92,1
1198,1710,Scan Probe Launchers,2703,1
1199,120,Scan Probes,1722,1
1200,120,Survey Probes,2663,1
1201,120,Interdiction Probes,1721,1
1202,944,Large Armor Rigs,2703,1
1203,944,Small Armor Rigs,2703,1
1204,944,Medium Armor Rigs,2703,1
1206,956,Small Armor Rigs,3194,1
1207,956,Medium Armor Rigs,3194,1
1208,956,Large Armor Rigs,3194,1
1210,957,Small Astronautic Rigs,3196,1
1211,957,Medium Astronautic Rigs,3196,1
1212,957,Large Astronautic Rigs,3196,1
1213,958,Small Drone Rigs,3200,1
1214,958,Medium Drone Rigs,3200,1
1215,958,Large Drone Rigs,3200,1
1219,960,Small Electronics Superiority Rigs,3198,1
1220,960,Medium Electronics Superiority Rigs,3198,1
1221,960,Large Electronics Superiority Rigs,3198,1
1222,961,Small Engineering Rigs,3195,1
1223,961,Medium Engineering Rigs,3195,1
1224,961,Large Engineering Rigs,3195,1
1225,962,Small Energy Weapon Rigs,3203,1
1226,962,Medium Energy Weapon Rigs,3203,1
1227,962,Large Energy Weapon Rigs,3203,1
1228,963,Small Hybrid Weapon Rigs,3202,1
1229,963,Medium Hybrid Weapon Rigs,3202,1
1230,963,Large Hybrid Weapon Rigs,3202,1
1231,964,Small Missile Launcher Rigs,3197,1
1232,964,Medium Missile Launcher Rigs,3197,1
1233,964,Large Missile Launcher Rigs,3197,1
1234,965,Small Shield Rigs,3193,1
1235,965,Medium Shield Rigs,3193,1
1236,965,Large Shield Rigs,3193,1
1237,979,Small Projectile Weapon Rigs,3201,1
1238,979,Medium Projectile Weapon Rigs,3201,1
1239,979,Large Projectile Weapon Rigs,3201,1
1240,945,Small Astronautic Rigs,2703,1
1241,945,Medium Astronautic Rigs,2703,1
1242,945,Large Astronautic Rigs,2703,1
1243,946,Small Drone Rigs,2703,1
1244,946,Medium Drone Rigs,2703,1
1245,946,Large Drone Rigs,2703,1
1249,948,Small Electronics Superiority Rigs,2703,1
1250,948,Medium Electronics Superiority Rigs,2703,1
1251,948,Large Electronics Superiority Rigs,2703,1
1252,949,Small Engineering Rigs,2703,1
1253,949,Medium Engineering Rigs,2703,1
1254,949,Large Engineering Rigs,2703,1
1255,950,Small Energy Weapon Rigs,2703,1
1256,950,Medium Energy Weapon Rigs,2703,1
1257,950,Large Energy Weapon Rigs,2703,1
1258,951,Small Hybrid Weapon Rigs,2703,1
1259,951,Medium Hybrid Weapon Rigs,2703,1
